week_id,flock_id,age_weeks,num_hens,feed_g_per_hen_day,feed_type,avg_temp,mortality_rate,avg_weight_kg,lights_hours_per_day,disease_outbreak,eggs_per_hen_day,total_eggs_week,is_low_performance,performance_class
25,1,47,213,116.1,1,23.8,0.97,2.22,12.3,1,0.1,149.1,1,0
26,1,48,205,113.9,1,25.1,1.09,2.25,13.2,1,0.1,143.5,1,0
27,1,49,214,109.9,0,24.1,0.32,2.33,13.7,0,0.1,149.8,1,0
28,1,50,201,107.1,2,24.2,0.11,2.4,12.5,0,0.1,140.7,1,0
29,1,51,216,110.3,1,23.6,0.22,2.4,13.9,0,0.1,151.2,1,0
30,1,52,205,114.0,2,25.2,0.1,2.4,14.2,0,0.1,143.5,1,0
31,1,53,216,110.1,1,25.4,0.07,2.4,13.5,0,0.1,151.2,1,0
32,1,54,202,112.1,0,27.1,0.27,2.4,13.8,0,0.1,141.4,1,0
33,1,55,202,112.7,1,25.6,0.59,2.4,13.2,0,0.1,141.4,1,0
34,1,56,216,113.6,2,26.5,0.01,2.4,13.3,0,0.1,151.2,1,0
35,1,57,216,107.8,1,26.6,0.69,2.4,12.5,0,0.1,151.2,1,0
36,1,58,218,106.1,0,25.5,0.0,2.4,13.1,0,0.1,152.6,1,0
37,1,59,201,115.2,0,23.8,0.69,2.4,13.7,0,0.1,140.7,1,0
38,1,60,210,113.2,2,25.3,0.32,2.4,13.1,0,0.1,147.0,1,0
39,1,61,217,111.5,1,25.9,0.13,2.4,13.4,0,0.1,151.9,1,0
40,1,62,208,112.8,1,24.9,0.24,2.4,13.2,0,0.1,145.6,1,0
41,2,24,168,118.4,0,25.9,1.92,1.24,13.1,1,0.343,403.2,1,0
42,2,25,179,112.7,0,26.6,0.91,1.61,13.1,1,0.367,459.8,1,0
43,2,26,173,111.8,0,22.9,0.09,1.33,13.5,0,0.62,751.1,1,0
44,2,27,176,116.0,1,26.6,0.4,1.78,14.6,0,0.789,972.4,0,1
45,2,28,163,123.0,2,25.4,0.15,1.7,13.0,0,0.883,1007.1,0,2
46,2,29,165,106.7,2,27.1,0.54,1.51,13.8,0,0.933,1077.1,0,2
47,2,30,178,113.2,1,24.8,0.68,1.82,13.4,0,0.838,1044.6,0,1
48,2,31,177,104.7,2,25.2,0.29,1.72,13.4,0,0.809,1002.5,0,1
49,2,32,165,112.1,1,28.6,0.14,1.67,13.1,0,0.79,912.2,0,1
50,2,33,161,108.6,1,28.5,0.11,1.81,13.6,0,0.786,886.1,0,1
51,2,34,172,116.5,2,28.6,0.14,1.95,12.2,0,0.774,932.4,0,1
52,2,35,167,108.0,0,28.7,0.27,2.03,13.9,0,0.519,606.3,1,0
53,2,36,170,115.0,2,27.8,0.0,1.71,13.3,0,0.567,674.9,1,0
54,2,37,171,117.1,1,23.5,0.02,1.87,14.6,0,0.434,518.9,1,0
55,2,38,164,115.0,0,28.0,0.43,1.92,13.0,0,0.296,340.2,1,0
56,2,39,181,106.7,1,27.3,0.99,2.05,12.9,1,0.1,126.7,1,0
57,2,40,171,115.0,2,26.2,0.49,2.03,13.8,0,0.18,215.9,1,0
58,2,41,174,113.0,1,23.3,0.05,2.4,13.9,0,0.107,130.8,1,0
59,2,42,173,111.0,2,24.1,0.18,2.28,13.6,0,0.1,121.1,1,0
60,2,43,172,114.3,0,23.4,0.0,2.36,14.1,0,0.1,120.4,1,0
61,2,44,175,111.7,1,26.3,0.0,2.05,13.0,0,0.1,122.5,1,0
62,2,45,173,113.5,0,24.7,1.6,2.3,14.1,1,0.1,121.1,1,0
63,2,46,171,113.7,2,27.7,0.06,2.4,13.7,0,0.1,119.7,1,0
64,2,47,179,112.5,2,27.5,0.73,2.34,13.6,0,0.1,125.3,1,0
65,2,48,171,119.8,2,24.0,0.0,2.26,13.1,0,0.1,119.7,1,0
66,2,49,168,119.7,2,24.9,0.66,2.26,13.7,0,0.1,117.6,1,0
67,2,50,177,114.2,2,28.8,0.0,2.4,13.2,0,0.1,123.9,1,0
68,2,51,165,115.3,0,26.1,0.56,2.4,13.7,0,0.1,115.5,1,0
69,2,52,178,108.5,2,25.1,0.21,2.4,12.5,0,0.1,124.6,1,0
70,2,53,161,113.7,0,26.6,0.0,2.4,13.6,0,0.1,112.7,1,0
71,2,54,170,118.9,0,28.4,0.32,2.4,13.9,0,0.1,119.0,1,0
72,2,55,165,115.5,1,25.9,0.76,2.4,13.4,0,0.1,115.5,1,0
73,2,56,175,116.0,2,25.1,0.39,2.4,13.2,0,0.1,122.5,1,0
74,2,57,179,110.6,1,27.0,0.17,2.4,12.9,0,0.1,125.3,1,0
75,2,58,175,120.3,0,26.9,0.07,2.4,13.9,0,0.1,122.5,1,0
76,2,59,169,118.1,1,26.7,1.98,2.4,13.4,1,0.1,118.3,1,0
77,2,60,181,114.2,0,27.6,1.54,2.4,13.7,1,0.1,126.7,1,0
78,2,61,177,119.4,1,24.3,0.13,2.4,14.0,0,0.1,123.9,1,0
79,2,62,177,114.4,0,26.3,0.34,2.4,13.5,0,0.1,123.9,1,0
80,2,63,179,126.8,0,25.7,0.2,2.4,14.0,0,0.1,125.3,1,0
81,3,21,212,118.5,0,24.4,0.68,1.5,14.1,1,0.1,148.4,1,0
82,3,22,209,112.5,1,25.3,0.94,1.37,14.2,0,0.347,507.7,1,0
83,3,23,223,108.2,1,28.4,0.23,1.29,14.7,0,0.374,584.3,1,0
84,3,24,209,104.8,0,24.0,0.0,1.36,15.4,0,0.301,440.6,1,0
85,3,25,213,110.2,0,25.5,0.21,1.53,15.2,0,0.529,788.2,1,0
86,3,26,222,108.9,1,26.4,0.73,1.53,13.9,0,0.61,947.6,1,0
87,3,27,219,106.0,1,28.1,0.33,1.69,15.1,0,0.674,1033.8,1,0
88,3,28,213,108.0,1,25.8,0.71,1.76,14.8,0,0.708,1055.6,0,1
89,3,29,222,103.0,0,27.3,0.35,1.56,14.2,0,0.699,1086.9,1,0
90,3,30,212,105.0,1,27.3,0.82,1.65,13.7,0,0.786,1166.1,0,1
91,3,31,212,111.1,1,26.9,0.39,1.62,14.4,0,0.824,1222.9,0,1
92,3,32,209,103.1,1,25.5,0.48,1.7,15.4,0,0.685,1002.5,1,0
93,3,33,210,112.2,0,28.0,1.81,1.99,14.2,1,0.512,752.6,1,0
94,3,34,225,113.8,1,27.7,0.28,1.67,14.8,0,0.745,1173.9,0,1
95,3,35,222,109.3,0,25.3,0.25,1.78,14.8,0,0.582,904.9,1,0
96,3,36,215,98.0,0,24.4,0.04,2.05,14.8,0,0.296,445.3,1,0
97,3,37,225,107.2,1,28.3,0.0,2.03,14.9,0,0.312,491.9,1,0
98,3,38,210,99.5,0,26.6,0.17,2.14,15.1,0,0.214,314.9,1,0
99,3,39,223,110.4,0,26.1,1.7,2.06,14.2,1,0.1,156.1,1,0
100,3,40,226,107.4,0,26.4,0.69,1.98,14.6,0,0.1,158.2,1,0
101,3,41,222,106.0,1,26.3,0.58,2.09,14.6,0,0.1,155.4,1,0
102,3,42,217,107.4,0,25.5,0.66,2.1,15.1,0,0.1,151.9,1,0
103,3,43,214,108.0,1,23.1,1.61,2.02,14.1,1,0.1,149.8,1,0
104,3,44,213,108.9,1,25.0,0.31,2.18,14.1,0,0.1,149.1,1,0
105,3,45,227,113.8,2,28.5,0.0,2.33,14.0,0,0.1,158.9,1,0
106,3,46,209,114.3,0,25.8,0.38,2.26,14.1,0,0.1,146.3,1,0
107,3,47,218,109.5,0,28.3,0.39,2.32,14.1,0,0.1,152.6,1,0
108,3,48,221,110.0,1,26.5,0.49,2.26,14.6,0,0.1,154.7,1,0
109,3,49,215,111.0,1,26.3,1.89,2.4,14.7,1,0.1,150.5,1,0
110,3,50,225,111.0,1,26.1,0.15,2.4,15.5,0,0.1,157.5,1,0
111,3,51,219,115.9,2,28.2,0.27,2.4,14.3,0,0.1,153.3,1,0
112,3,52,219,110.9,0,26.9,0.0,2.4,14.2,0,0.1,153.3,1,0
113,3,53,229,105.9,2,26.0,0.02,2.4,15.3,0,0.1,160.3,1,0
114,3,54,225,113.2,1,27.9,0.43,2.4,14.4,0,0.1,157.5,1,0
115,3,55,223,112.6,1,25.9,0.14,2.4,14.5,0,0.1,156.1,1,0
116,3,56,228,116.8,1,26.4,0.33,2.4,13.8,0,0.1,159.6,1,0
117,3,57,221,114.9,0,29.4,0.38,2.4,14.3,0,0.1,154.7,1,0
118,3,58,214,114.0,2,27.9,0.22,2.4,15.0,0,0.1,149.8,1,0
119,3,59,216,106.5,0,26.8,0.82,2.4,13.5,1,0.1,151.2,1,0
120,3,60,215,110.1,0,27.9,0.33,2.4,14.8,0,0.1,150.5,1,0
121,4,20,207,124.0,1,29.5,0.25,1.42,15.8,0,0.274,397.3,1,0
122,4,21,192,121.1,0,25.7,0.69,1.56,15.1,0,0.274,368.9,1,0
123,4,22,208,118.0,2,26.8,0.58,1.53,15.1,0,0.441,641.5,1,0
124,4,23,194,122.4,2,27.7,0.57,1.37,15.0,1,0.231,313.9,1,0
125,4,24,210,120.4,1,29.9,0.0,1.28,14.1,0,0.632,929.0,1,0
126,4,25,210,128.5,0,30.0,0.58,1.39,15.0,0,0.639,939.2,1,0
127,4,26,192,128.0,1,28.7,0.13,1.46,14.9,0,0.809,1087.7,0,1
128,4,27,203,119.8,1,27.3,0.27,1.71,14.3,0,0.931,1322.7,0,2
129,4,28,209,121.3,1,25.9,0.59,1.44,14.1,0,0.905,1324.6,0,2
130,4,29,192,120.5,1,24.6,0.41,1.7,14.3,0,0.927,1245.5,0,2
131,4,30,209,116.4,0,29.4,0.34,1.79,15.5,0,0.859,1256.4,0,2
132,4,31,195,121.7,0,26.7,0.13,1.79,14.8,0,0.945,1289.4,0,2
133,4,32,194,130.0,0,28.7,0.0,1.77,14.5,0,0.98,1331.4,0,2
134,4,33,204,124.9,1,24.4,0.43,1.73,14.4,0,0.884,1261.7,0,2
135,4,34,195,125.5,2,26.2,0.8,1.86,14.7,0,0.898,1225.7,0,2
136,4,35,201,125.9,0,27.8,0.55,1.78,15.0,0,0.695,978.2,1,0
137,4,36,195,122.2,0,27.9,0.22,2.01,14.4,0,0.574,784.1,1,0
138,4,37,202,128.8,1,27.2,0.87,1.83,14.8,1,0.276,390.9,1,0
139,4,38,210,132.6,0,29.2,1.83,2.05,13.7,1,0.173,253.8,1,0
140,4,39,191,127.7,1,27.1,1.71,1.9,13.5,1,0.1,133.7,1,0
141,4,40,194,114.2,0,26.7,0.38,2.21,15.6,0,0.176,239.3,1,0
142,4,41,200,127.1,0,28.0,1.72,2.04,14.8,1,0.1,140.0,1,0
143,4,42,193,120.2,0,25.9,0.65,2.31,14.8,0,0.136,184.2,1,0
144,4,43,206,124.6,2,29.5,0.43,2.14,14.5,0,0.166,239.0,1,0
145,4,44,193,126.2,1,24.1,0.86,2.3,14.9,0,0.14,189.5,1,0
146,4,45,199,119.4,2,26.5,0.52,2.4,14.4,0,0.1,139.3,1,0
147,4,46,207,123.5,1,25.9,0.15,2.4,14.5,0,0.1,144.9,1,0
148,4,47,205,121.8,0,26.6,0.49,2.4,14.1,0,0.1,143.5,1,0
149,4,48,207,131.4,1,26.7,0.71,2.29,15.0,0,0.118,170.7,1,0
150,4,49,198,129.8,1,27.2,0.35,2.4,14.5,0,0.1,138.6,1,0
151,4,50,192,120.2,1,25.7,0.79,2.4,15.1,0,0.1,134.4,1,0
152,4,51,201,125.5,0,28.1,0.43,2.4,14.4,0,0.1,140.7,1,0
153,4,52,201,129.5,0,28.5,0.22,2.4,14.2,0,0.1,140.7,1,0
154,4,53,210,128.5,0,26.5,0.55,2.4,14.9,0,0.1,147.0,1,0
155,4,54,202,118.0,0,28.3,0.0,2.4,14.2,0,0.1,141.4,1,0
156,4,55,200,117.4,1,29.4,0.31,2.4,13.5,0,0.1,140.0,1,0
157,4,56,199,127.8,2,28.4,0.24,2.4,14.5,0,0.1,139.3,1,0
158,4,57,207,128.5,2,27.7,0.96,2.4,14.4,0,0.138,200.6,1,0
159,4,58,205,125.8,1,25.6,0.22,2.4,14.2,0,0.1,143.5,1,0
160,4,59,202,124.3,2,28.5,0.24,2.4,14.8,0,0.1,141.4,1,0
